name,rating,popularity,cluster,performance
Tu-Do Vietnamese Restaurant,4.5,828,0,Medium
Carrabba's Italian Grill,3.7,292,0,Medium
Jaco's Bayfront Bar and Grille,3.9,502,0,Medium
The Tin Cow,3.7,559,0,Medium
Cactus Flower Cafe,4.2,1268,2,High
Dharma Blue,4.1,669,0,Medium
Global Grill,4.4,900,0,Medium
Ichiban,4.3,765,0,Medium
The Fish House,4.0,1270,2,High
Tuscan Oven,4.1,502,0,Medium
Flounders Chowder House,3.9,724,0,Medium
Hemingway's Island Grill,3.5,479,0,Medium
Native Cafe,4.2,591,0,Medium
Peg Leg Pete's,4.4,1408,2,High
The Grand Marlin,4.3,905,0,Medium
Original Georgios Authentic Greek Food,4.7,816,0,Medium
Fisherman's Corner,4.4,747,0,Medium
Mad Cowes Cafe,3.7,351,0,Medium
Rupes Burgers,3.7,104,0,Medium
Texas Roadhouse,3.5,83,0,Medium
Riverwalk Cafe,3.6,91,0,Medium
Royal Hotel,3.6,59,0,Medium
Buddy's Italian Restaurant,3.7,222,0,Medium
Butterburrs,3.6,121,0,Medium
Chang Garden,3.5,93,0,Medium
Fifth Street Bagelry,3.8,136,0,Medium
Goody's Deli,3.8,160,0,Medium
Grecian Key Restaurant,3.7,152,0,Medium
Outer Limits Fun Zone,3.5,57,0,Medium
Portneuf Valley Brewing,3.7,191,0,Medium
Sandpiper Restaurant & Lounge,3.6,85,0,Medium
Senor Iguanas,3.6,108,0,Medium
Sushi Family,3.6,132,0,Medium
Taste of India Nepal,3.8,141,0,Medium
Thai Paradise,3.7,162,0,Medium
The Bridge,3.6,144,0,Medium
Nosh Mahal,0.0,1,1,Low
El Herradero,4.1,365,0,Medium
Barrett Junction Cafe,3.3,9,0,Medium
Blue Point Grill,4.0,542,0,Medium
Giovanni's Shrimp Truck,4.5,691,0,Medium
Kona Brewing Company,4.7,764,0,Medium
Leonard's Bakery,4.7,707,0,Medium
Coconuts Fish Cafe,4.5,487,0,Medium
Kihei Caffe,4.5,695,0,Medium
Monkeypod Kitchen by Merriman,4.2,485,0,Medium
Sansei Seafood Restaurant & Sushi Bar,4.2,807,0,Medium
Star Noodle,4.6,723,0,Medium
Aloha Mixed Plate,4.2,874,0,Medium
Gazebo,4.4,552,0,Medium
Hula Grill,4.3,1056,0,Medium
Kimo's,4.3,707,0,Medium
Mama's Fish House,4.9,1343,2,High
Marukame Udon,4.9,602,0,Medium
Yard House,4.6,1078,0,Medium
Lulu's Waikiki,3.9,232,0,Medium
Duke's Waikiki,4.4,1492,2,High
Eggs 'n Things,4.0,535,0,Medium
Roy's,4.2,531,0,Medium
Wailana Coffee House,4.2,694,0,Medium
The Lady & Sons,3.3,1201,2,High
Green Truck Pub,4.7,906,0,Medium
Leopold's Ice Cream,4.6,880,0,Medium
Mrs. Wilkes' Dining Room,4.5,1014,0,Medium
Zunzi's,4.5,796,0,Medium
Moon River Brewing Company,3.7,747,0,Medium
Pirates' House Restaurant,3.8,566,0,Medium
B. Matthew's Eatery,4.1,683,0,Medium
Crystal Beer Parlor,4.4,690,0,Medium
Goose Feathers Cafe and Bakery,4.2,680,0,Medium
Henry's,4.1,287,0,Medium
Huey's On The River,4.1,802,0,Medium
J. Christopher's,4.3,710,0,Medium
Lulu's Chocolate Bar,4.3,456,0,Medium
Rocks on the River,4.0,687,0,Medium
SOHO South Cafe,4.3,719,0,Medium
The Olde Pink House,4.4,1803,2,High
Vic's On The River,4.1,558,0,Medium
The Crab Shack,3.8,883,0,Medium
Tybee Island Social Club,3.9,309,0,Medium
Sky On 57,3.4,34,0,Medium
Cut By Wolfgang Puck,4.0,33,0,Medium
Restaurant Andre,3.8,33,0,Medium
Potato Head Folk,3.1,34,0,Medium
Jaan,3.8,35,0,Medium
Rhubarb Le Restaurant,3.9,33,0,Medium
Al'frank Cookies,4.2,29,0,Medium
Fratini La Trattoria,4.1,35,0,Medium
Boufe Boutique Cafe,3.2,29,0,Medium
The Refinery Singapore,3.2,30,0,Medium
Chye Seng Huat Hardware,3.7,33,0,Medium
Makansutra Gluttons Bay,3.0,25,0,Medium
Colony,3.8,30,0,Medium
Summer Pavilion,3.9,34,0,Medium
The Lokal,3.1,33,0,Medium
I Am,3.2,32,0,Medium
Super Loco,3.2,30,0,Medium
Artistry,3.8,28,0,Medium
Bitters & Love,3.9,35,0,Medium
Artichoke Cafe,3.2,33,0,Medium
Archie's Waeside,3.7,100,0,Medium
Bob Roe's Pizza,3.6,92,0,Medium
Da Kao Restaurant,3.8,182,0,Medium
Famous Dave's,3.6,76,0,Medium
Fuji Bay Japanese Restaurant,3.7,129,0,Medium
HuHot Mongolian Grill,3.6,94,0,Medium
Hunan Palace,3.8,129,0,Medium
Jerry's Pizza,3.8,178,0,Medium
Jim's Burgers,3.7,97,0,Medium
Johnnie Mars,3.9,161,0,Medium
Miles Inn,3.7,122,0,Medium
Milwaukee Wiener House,3.8,195,0,Medium
Minerva's Food & Cocktails,3.7,146,0,Medium
Monterrey Mexican Restaurant,3.7,117,0,Medium
Rebos,3.8,187,0,Medium
Tokyo Japanese Steakhouse & Sushi Bar,3.9,239,0,Medium
Diamond Thai Cuisine,4.0,303,0,Medium
El Fredo Pizza,4.0,280,0,Medium
Trattoria Fresco,4.0,271,0,Medium
Kahill's Steak-Fish Chophouse,3.5,58,0,Medium
Rumba Island Bar & Grill,4.6,1321,2,High
Red Mesa Cantina,4.6,1629,2,High
BellaBrava,4.1,921,0,Medium
Ceviche Tapas Bar & Restaurant,4.1,986,0,Medium
The Moon Under Water,4.1,1020,0,Medium
Bern's Steak House,4.7,3157,2,High
Boca Kitchen Bar Market,3.9,665,0,Medium
Edison: Food+Drink Lab,3.9,373,0,Medium
Ceviche Tapas Bar & Restaurant,4.4,1007,0,Medium
Daily Eats,4.4,803,0,Medium
Salt Rock Grill,4.2,1363,2,High
Mazzaro's Italian Market,4.9,1424,2,High
Conch Republic Grill,4.5,844,0,Medium
Mr. Dunderbak's Biergarten and Marketplatz,4.9,1413,2,High
Red Mesa Restaurant,4.5,1203,2,High
Datz,4.7,3074,2,High
Ella's Americana Folk Art Cafe,4.8,1715,2,High
Taco Bus,4.5,1868,2,High
The Refinery,4.0,875,0,Medium
Columbia Restaurant,4.4,1746,2,High
1918 Bistro & Grill,4.4,339,0,Medium
Pig and Whistle,4.1,87,0,Medium
Buffalo Wild Wings,3.4,98,0,Medium
El Toreo Mexican Restaurant,3.1,83,0,Medium
306 North Restaurant,3.9,231,0,Medium
Austins Cattle Co,3.7,216,0,Medium
Beijing Cafe,3.8,185,0,Medium
Bleu Cafe,3.7,185,0,Medium
Bleu Pub,3.8,281,0,Medium
Bubba Jax Crab Shack,3.7,137,0,Medium
Cheddar's Scratch Kitchen,3.7,209,0,Medium
El Cazador,3.7,168,0,Medium
Friends Grille and Bar,3.9,243,0,Medium
Giulios Greek & Italian Restaurant,3.8,221,0,Medium
La Jalisco Supermercato,3.5,46,0,Medium
Masato Japanese,3.9,262,0,Medium
Mom & Dad's Italian Restaurant,3.7,183,0,Medium
Mori's Japanese Steakhouse & Sushi Bar,3.5,208,0,Medium
Passage 2 India,3.8,245,0,Medium
Rodeo Mexican Restaurant,3.8,199,0,Medium
Steel Magnolias,3.8,225,0,Medium
Smok'n Pig B-B-Q,4.1,575,0,Medium
Blue House Cafe,4.3,88,0,Medium
Anchorage Cafe Restaurant Wine Bar,3.6,96,0,Medium
Lake House Restaurant,4.3,204,0,Medium
Masala Grill & Coffee House,3.2,18,0,Medium
Brown Bottle The Cedar Falls,3.7,134,0,Medium
Four Queens Dairy Cream,3.9,190,0,Medium
Hong Kong Chinese Restaurant,3.8,136,0,Medium
HuHot Mongolian Grill,3.7,113,0,Medium
J's Homestyle Cooking,3.6,69,0,Medium
Montage,3.6,89,0,Medium
Mulligan's Brick Oven Grill,3.6,80,0,Medium
Sakura,3.8,175,0,Medium
Scratch,3.7,136,0,Medium
SOHO Sushi Bar & Deli,3.6,114,0,Medium
Texas Roadhouse,3.6,93,0,Medium
Tony's La Pizzeria,3.6,89,0,Medium
Chapala,3.6,69,0,Medium
Galleria de Paco,3.6,86,0,Medium
Golden China,3.7,73,0,Medium
Rudy's Tacos,3.6,104,0,Medium
The Screaming Eagle,3.7,101,0,Medium
The Thai Bowl,3.5,58,0,Medium
Tokyo Japanese Steak House,3.9,156,0,Medium
Theo Yianni's Authentic Greek Restaurant,3.9,156,0,Medium
Fishpatrick's Crabby Cafe,3.2,16,0,Medium
